"","season","hr","V1"
"1","Spring",21,419.134150578306
"2","Spring",3,163.833994852429
"3","Spring",5,95.5346752698803
"4","Spring",9,258.109130409247
"5","Spring",17,338.100291752604
"6","Spring",19,367.673528531331
"7","Spring",23,440.431069066793
"8","Spring",1,339.270953771489
"9","Spring",7,99.3920944587556
"10","Spring",13,378.108529214061
"11","Spring",15,369.941804975963
"12","Spring",11,424.940927485727
"13","Spring",20,354.842864401681
"14","Spring",0,405.046472549429
"15","Spring",14,396.109639860072
"16","Spring",2,255.139808924854
"17","Spring",18,374.135433459971
"18","Spring",22,477.711965027087
"19","Spring",4,85.6058532598831
"20","Spring",6,107.98620869917
"21","Spring",8,127.545302770934
"22","Spring",16,324.413003011415
"23","Spring",10,400.092664790907
"24","Spring",12,378.93052734781
