season,hr,V1
Spring,2,129.386311689969
Spring,4,89.2712425360733
Spring,6,36.9474737608902
Spring,8,33.8326316533214
Spring,10,92.9839452918077
Spring,12,171.519278828458
Spring,14,156.285861830469
Spring,16,147.273712762429
Spring,18,148.34701713855
Spring,20,123.884630910008
Spring,22,116.973852109116
Spring,0,116.623507200744
Winter,5,62.2530488493159
Winter,7,82.7895093610275
Winter,9,101.428758817121
Winter,11,47.2979723305243
Winter,13,39.4423777897781
Winter,15,178.081511947768
Winter,3,95.8069583616533
Winter,17,185.214006842914
Winter,19,92.6783422171587
Winter,21,105.286871049322
Winter,23,177.658360744091
Winter,1,166.122024902949
Winter,6,50.6819936853627
Winter,12,-2.24569602040438
Winter,18,123.922355634109
Winter,0,160.48852905203
